"","Koa root","Olapa root","Grass root","Ohia root","Kolea root","Akala root","Soil"
"ASV18",0,0,0,0,0,1,0
"ASV180",0,0,0,0,0,0,6
"ASV1800",0,0,0,90,0,0,0
"ASV1801",87,0,0,57,17,56,6
"ASV1802",0,0,0,0,0,0,13
"ASV1803",0,0,0,0,0,0,69
"ASV1806",65,7,1,0,4,0,1726
"ASV1807",0,0,0,4,0,0,7
"ASV181",1,0,0,0,0,0,0
"ASV1811",0,3,0,0,0,0,0
"ASV1812",2,0,0,0,0,0,0
"ASV1815",51,42,169,33,92,18,1693
"ASV1816",0,0,6,0,0,0,0
"ASV1817",0,0,0,0,7,0,0
"ASV1818",0,0,14,0,0,0,70
"ASV1823",0,0,8,0,0,1,262
"ASV1826",0,0,5,0,0,0,0
"ASV1828",0,0,0,0,0,0,39
"ASV1829",0,102,0,187,7,0,293
"ASV1830",0,0,0,0,0,0,32
"ASV1831",0,3,0,0,0,0,0
"ASV1833",5,0,0,0,0,0,0
"ASV1834",16,2,3,0,3,0,260
"ASV1836",104,0,10,0,0,11,566
"ASV1837",0,0,20,0,19,0,66
"ASV184",1,0,0,0,0,0,0
"ASV1842",0,0,0,0,0,0,20
"ASV1843",0,0,0,0,12,0,0
"ASV1845",74,278,0,284,148,12,1125
"ASV1846",1,0,0,0,0,0,0
"ASV1847",0,0,0,0,0,0,4
"ASV1848",0,0,0,0,0,0,96
"ASV1850",0,0,0,0,0,0,1
"ASV1851",0,0,0,0,0,0,6
"ASV1854",0,0,0,0,0,0,32
"ASV1858",37,32,0,276,59,47,728
"ASV1859",0,0,0,0,5,0,0
"ASV186",0,0,0,0,2,0,0
"ASV1861",0,0,0,0,22,0,0
"ASV1863",71,62,0,505,187,3,873
"ASV1864",0,0,0,0,0,0,46
"ASV1866",0,9,0,17,14,0,0
"ASV1868",0,0,0,0,45,0,0
"ASV1869",0,0,0,0,17,0,0
"ASV187",1,0,0,0,0,0,0
"ASV1870",21,0,0,113,112,0,286
"ASV1871",740,706,510,2453,1165,486,8222
"ASV1874",0,0,0,0,0,0,16
"ASV1875",84,0,10,197,30,40,93
"ASV1876",66,0,0,128,28,38,47
"ASV1877",48,0,0,130,31,27,78
"ASV1878",0,0,0,23,0,0,13
"ASV1879",0,0,0,131,0,0,274
"ASV188",0,0,0,0,7,0,0
"ASV1880",0,5,0,0,0,0,30
"ASV1881",81,0,30,177,27,54,67
"ASV1883",0,0,0,20,0,3,0
"ASV1884",0,0,0,0,0,0,142
"ASV1889",0,0,0,0,0,0,2
"ASV189",0,0,0,0,0,0,23
"ASV1890",0,0,0,0,0,0,8
"ASV1892",0,0,0,3,0,0,0
"ASV1893",0,7,0,0,0,0,0
"ASV1894",0,0,0,22,8,0,14
"ASV1895",97,0,12,149,33,30,86
"ASV1896",0,0,0,0,0,0,57
"ASV1898",0,8,8,191,97,0,367
"ASV19",6,0,0,0,0,0,0
"ASV190",0,0,0,0,11,0,103
"ASV1900",3,0,0,0,0,0,0
"ASV1901",10,0,0,0,0,0,22
"ASV1902",0,0,0,0,0,0,15
"ASV1903",0,0,0,0,31,0,0
"ASV1904",0,0,0,0,0,0,31
"ASV1905",0,0,0,0,0,0,46
"ASV1907",2,0,0,0,0,0,0
"ASV1912",17,0,0,0,0,0,250
"ASV1913",0,0,0,0,0,34,7
"ASV1916",0,0,0,0,11,21,55
"ASV1917",0,0,0,0,0,0,73
"ASV1918",0,0,0,0,14,0,0
"ASV1919",2,0,0,0,0,0,0
"ASV192",0,0,0,0,0,0,3
"ASV1926",97,0,0,0,0,0,264
"ASV193",0,0,0,0,9,0,0
"ASV1930",0,0,0,0,0,0,63
"ASV1931",0,0,0,0,0,0,51
"ASV1932",0,0,0,0,0,0,34
"ASV1933",0,0,0,0,0,0,54
"ASV1934",0,0,0,0,0,0,207
"ASV1937",0,0,0,0,0,0,40
"ASV1938",0,0,0,0,0,0,70
"ASV1939",0,0,0,0,0,0,33
"ASV194",0,0,0,0,0,0,6
"ASV1940",7,0,0,15,0,0,0
"ASV1941",752,0,94,0,54,2001,3716
"ASV1942",0,0,0,0,19,0,0
"ASV1945",0,0,0,0,0,7,0
"ASV1946",1171,32,1320,477,303,4157,5520
"ASV1947",0,0,0,0,0,69,0
"ASV1948",3232,489,4159,1613,870,10706,23575
"ASV195",0,0,0,0,5,0,0
"ASV1950",0,0,0,50,0,0,0
"ASV1953",1011,343,304,513,2810,456,1646
"ASV1955",0,0,0,0,12,0,0
"ASV1957",0,0,0,0,0,0,26
"ASV196",0,0,0,0,0,4,0
"ASV1962",6,0,0,0,0,0,0
"ASV1963",0,0,0,0,51,0,0
"ASV1968",2,0,0,0,0,0,0
"ASV197",0,7,0,0,0,0,20
"ASV1977",0,0,0,2,0,0,0
"ASV198",0,0,0,0,0,0,9
"ASV1985",1,0,0,0,0,0,0
"ASV1992",1,0,0,0,0,0,0
"ASV1993",0,0,0,0,0,1,0
"ASV1998",0,0,1,0,0,0,0
"ASV1999",0,0,0,0,0,0,2
"ASV200",0,0,0,6,0,0,0
"ASV2002",0,0,3,0,0,0,0
"ASV2004",0,0,6,0,0,0,0
"ASV2009",0,0,0,0,0,0,2
"ASV201",0,19,10,0,15,0,140
"ASV2010",0,0,0,0,0,0,2
"ASV202",3,0,0,0,0,0,0
"ASV2020",0,0,0,0,0,3,0
"ASV2028",0,0,0,3,0,0,0
"ASV203",0,0,5,0,0,0,0
"ASV2038",1,0,0,0,0,0,0
"ASV2039",0,0,1,0,0,0,0
"ASV204",0,0,0,0,0,2,0
"ASV2040",0,0,0,0,14,0,0
"ASV2042",0,0,0,0,0,0,2
"ASV2049",127,0,0,0,0,675,7399
"ASV2050",0,0,0,0,0,0,143
"ASV2053",48,0,0,0,0,1514,75
"ASV2054",2699,397,1477,1079,3116,6786,10454
"ASV2055",73,0,489,47,103,617,1455
"ASV2058",24,0,0,33,0,0,54
"ASV2060",0,0,0,0,0,31,119
"ASV2063",693,609,696,875,3569,134,2101
"ASV2066",0,0,0,0,0,6,0
"ASV2069",0,0,0,0,11,0,0
"ASV207",0,0,0,0,4,0,0
"ASV2070",0,0,0,0,28,0,0
"ASV2072",267,179,156,55,1117,62,399
"ASV2074",0,0,0,0,0,0,29
"ASV208",153,37,75,201,29,52,1045
"ASV213",0,0,0,0,0,0,37
"ASV214",3,0,0,0,0,0,0
"ASV215",6,0,1,13,7,10,61
"ASV216",0,0,0,0,0,2,0
"ASV219",0,0,8,0,0,0,0
"ASV22",0,0,0,1,0,0,0
"ASV220",4,0,0,0,0,0,0
"ASV221",0,0,5,0,0,0,17
"ASV222",0,0,0,0,0,0,17
"ASV223",0,0,4,0,0,0,41
"ASV224",3,4,36,11,0,0,253
"ASV225",0,0,10,0,0,0,0
"ASV227",0,0,0,0,0,0,12
"ASV229",10,5,0,0,0,2,30
"ASV23",0,0,0,0,5,0,0
"ASV230",0,0,5,0,0,0,41
"ASV232",18,72,33,0,93,0,991
"ASV233",0,0,0,11,0,0,28
"ASV235",0,0,21,0,0,0,0
"ASV236",0,0,12,0,39,0,221
"ASV239",0,0,0,0,0,0,8
"ASV240",0,0,7,0,0,0,0
"ASV241",0,6,0,0,0,0,82
"ASV244",0,0,0,0,0,0,15
"ASV245",0,0,0,0,0,2,0
"ASV246",0,0,20,0,0,4,422
"ASV248",0,0,0,0,0,0,77
"ASV249",0,0,0,0,8,0,44
"ASV25",0,0,0,0,7,0,0
"ASV252",0,0,0,0,0,0,13
"ASV253",0,0,0,0,0,0,61
"ASV254",0,0,0,0,0,0,30
"ASV255",0,0,0,0,0,0,33
"ASV256",0,0,0,0,0,0,13
"ASV257",8,21,0,0,261,0,386
"ASV258",0,0,0,0,0,0,23
"ASV261",0,0,0,0,0,0,6
"ASV262",0,0,0,0,0,0,15
"ASV264",0,0,0,0,0,0,13
"ASV265",0,0,0,0,0,0,16
"ASV266",0,0,0,0,0,4,0
"ASV267",0,0,3,0,0,0,0
